method,surface,log_range,parameter,relative_error_pct,abs_relative_error_pct,convergence_failure
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,alpha,-8.944826778908753e-07,8.944826778908753e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.657895,beta,-9.070872189576745e-07,9.070872189576745e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,E,1.642947737094513e-06,1.642947737094513e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,A,1.0534174904819338e-05,1.0534174904819338e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,B,1.0534174620602244e-05,1.0534174620602244e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,alpha,2.029022487660645e-06,2.029022487660645e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.747368,beta,2.0290367952122043e-06,2.0290367952122043e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,0.836842,E,-1.2071270518339898e-05,1.2071270518339898e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.836842,A,-8.007982761171206e-05,8.007982761171206e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.836842,B,-8.007982739854924e-05,8.007982739854924e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.836842,alpha,-1.5410152920750186e-05,1.5410152920750186e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.836842,beta,-1.5334761435580717e-05,1.5334761435580717e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,0.926316,E,4.929881617988015e-08,4.929881617988015e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,0.926316,A,-8.538895031051651e-07,8.538895031051651e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.926316,B,-8.546398078124185e-07,8.546398078124185e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.926316,alpha,-1.6224047195306968e-07,1.6224047195306968e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,0.926316,beta,-1.7164732001342674e-07,1.7164732001342674e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.015789,E,-1.0827187010201774e-06,1.0827187010201774e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.015789,A,-5.551631915068356e-06,5.551631915068356e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.015789,B,-5.554501683491253e-06,5.554501683491253e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.015789,alpha,-1.1117628144261968e-06,1.1117628144261968e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.015789,beta,-1.1071615309142837e-06,1.1071615309142837e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.105263,E,-9.062511425056003e-07,9.062511425056003e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.105263,A,-4.932004841862181e-06,4.932004841862181e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.105263,B,-4.932023955461773e-06,4.932023955461773e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.105263,alpha,-9.359230236694407e-07,9.359230236694407e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.105263,beta,-1.0270658517212483e-06,1.0270658517212483e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,E,-5.171917200885329e-07,5.171917200885329e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,A,-2.4843885597647386e-06,2.4843885597647386e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,B,-3.691938516681148e-06,3.691938516681148e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,alpha,-4.795927991658518e-07,4.795927991658518e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.194737,beta,-7.373493930124882e-07,7.373493930124882e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,E,-6.445298338434717e-07,6.445298338434717e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,A,-2.520440204989427e-06,2.520440204989427e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,B,-2.520439807085495e-06,2.520439807085495e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,alpha,-5.695752650886961e-07,5.695752650886961e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.284211,beta,-5.69918520978358e-07,5.69918520978358e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,E,-6.520744628018676e-07,6.520744628018676e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,A,-3.7869035907078796e-06,3.7869035907078796e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,B,-3.786957989859729e-06,3.786957989859729e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,alpha,-6.333922275558734e-07,6.333922275558734e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.373684,beta,-7.939997405079492e-07,7.939997405079492e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,E,-1.2947801936465133e-08,1.2947801936465133e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,A,-5.6811103377185646e-08,5.6811103377185646e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,B,-5.681469872342859e-08,5.681469872342859e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,alpha,-1.1985341035048965e-08,1.1985341035048965e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.463158,beta,-1.1943224187405121e-08,1.1943224187405121e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,E,3.774041697172123e-07,3.774041697172123e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,A,1.7121702171607467e-06,1.7121702171607467e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,B,1.7121703734801486e-06,1.7121703734801486e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,alpha,3.579657538130545e-07,3.579657538130545e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.552632,beta,3.5804255617680643e-07,3.5804255617680643e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,E,-2.84883123008943e-07,2.84883123008943e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,A,-1.22307719152559e-06,1.22307719152559e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,B,-1.2181249218201629e-06,1.2181249218201629e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,alpha,-2.593077902939135e-07,2.593077902939135e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.642105,beta,-2.583627398044358e-07,2.583627398044358e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,E,-2.2238014191441446e-07,2.2238014191441446e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,A,-6.566444170630348e-07,6.566444170630348e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,B,-6.566446444367102e-07,6.566446444367102e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,alpha,-1.540589340686163e-07,1.540589340686163e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.731579,beta,-1.5727451599121328e-07,1.5727451599121328e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,E,-1.439650979625421e-05,1.439650979625421e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,A,-5.346212401491357e-05,5.346212401491357e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,B,-5.346207835543737e-05,5.346207835543737e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,alpha,-1.1731619099114756e-05,1.1731619099114756e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.821053,beta,-1.1698308361434007e-05,1.1698308361434007e-05,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,E,-1.4447732950834749e-08,1.4447732950834749e-08,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,A,-2.7071536123912665e-09,2.7071536123912665e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,B,-2.705078827602847e-09,2.705078827602847e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,alpha,-3.46330491167222e-09,3.46330491167222e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,1.910526,beta,-4.113394213059183e-09,4.113394213059183e-09,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,E,-5.051329111732771e-07,5.051329111732771e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,A,-1.2361481367406668e-06,1.2361481367406668e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,B,-1.2361474404087858e-06,1.2361474404087858e-06,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,alpha,-2.933174312754857e-07,2.933174312754857e-07,False
"5D L-BFGS-B (analytical grad)",symmetric,2.000000,beta,-2.894810198002475e-07,2.894810198002475e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,E,-0.06908626020365145,0.06908626020365145,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,A,0.7531390239203061,0.7531390239203061,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,B,-1.3829601194383807,1.3829601194383807,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,alpha,0.1493159543180261,0.1493159543180261,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.300000,beta,-0.2769820276347328,0.2769820276347328,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,E,-3.0353049593809068e-06,3.0353049593809068e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,A,1.4273550418599056e-05,1.4273550418599056e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,B,-4.89042943932662e-05,4.89042943932662e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,alpha,2.877307673167158e-06,2.877307673167158e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.389474,beta,-9.586599093923199e-06,9.586599093923199e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,E,-3.021839189133201e-08,3.021839189133201e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,A,6.384787361979776e-08,6.384787361979776e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,B,-2.5123879039739157e-07,2.5123879039739157e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,alpha,1.1033331111488063e-08,1.1033331111488063e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.478947,beta,-5.283329329586195e-08,5.283329329586195e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,E,-9.977754322962345e-08,9.977754322962345e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,A,-3.2419891303470296e-06,3.2419891303470296e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,B,1.8947461240324806e-06,1.8947461240324806e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,alpha,-6.464169395837369e-07,6.464169395837369e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.568421,beta,3.786715980463079e-07,3.786715980463079e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,E,6.264180495817577e-09,6.264180495817577e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,A,2.55681670061791e-08,2.55681670061791e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,B,-1.5818470197919456e-08,1.5818470197919456e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,alpha,4.4490228494750866e-09,4.4490228494750866e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.657895,beta,-1.3045913555791748e-09,1.3045913555791748e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,E,-3.453926428231375e-07,3.453926428231375e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,A,-2.6084132369352286e-06,2.6084132369352286e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,B,-1.5192553292296885e-06,1.5192553292296885e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,alpha,-5.001873261983542e-07,5.001873261983542e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.747368,beta,-3.0013943711334636e-07,3.0013943711334636e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,E,1.7884465768953878e-07,1.7884465768953878e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,A,1.1473810248364717e-06,1.1473810248364717e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,B,2.3010812347092416e-06,2.3010812347092416e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,alpha,2.1804207132635656e-07,2.1804207132635656e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.836842,beta,4.3455068908317323e-07,4.3455068908317323e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,E,-2.793921307326893e-07,2.793921307326893e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,A,-8.887920139149332e-06,8.887920139149332e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,B,-1.7058592354873966e-07,1.7058592354873966e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,alpha,-1.7759372893846062e-06,1.7759372893846062e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,0.926316,beta,1.3891980819659618e-07,1.3891980819659618e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,E,1.297901299912782e-07,1.297901299912782e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,A,8.171358952559664e-07,8.171358952559664e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,B,6.574545395829775e-07,6.574545395829775e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,alpha,1.5947328425123515e-07,1.5947328425123515e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.015789,beta,1.29317846114014e-07,1.29317846114014e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,E,8.000306531650936e-10,8.000306531650936e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,A,3.5284041655180005e-09,3.5284041655180005e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,B,4.888644746974921e-09,4.888644746974921e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,alpha,6.921260949986711e-10,6.921260949986711e-10,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.105263,beta,1.000251468953804e-09,1.000251468953804e-09,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,E,6.326205174438869e-07,6.326205174438869e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,A,5.888941771670972e-06,5.888941771670972e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,B,2.4572936624385588e-06,2.4572936624385588e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,alpha,1.1620212308722656e-06,1.1620212308722656e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.194737,beta,4.588744860280412e-07,4.588744860280412e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,E,-7.961087804765547e-07,7.961087804765547e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,A,-3.6013346076058983e-06,3.6013346076058983e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,B,-3.4521137960761047e-06,3.4521137960761047e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,alpha,-7.099278028189313e-07,7.099278028189313e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.284211,beta,-7.038756482431145e-07,7.038756482431145e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,E,-6.734051843433578e-07,6.734051843433578e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,A,3.1111259430439186e-06,3.1111259430439186e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,B,-6.490127687067803e-06,6.490127687067803e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,alpha,5.577720311766189e-07,5.577720311766189e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.373684,beta,-1.3456004366307892e-06,1.3456004366307892e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,E,-1.8728318567242678e-06,1.8728318567242678e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,A,1.4548607148397667e-06,1.4548607148397667e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,B,-1.6535256118205847e-05,1.6535256118205847e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,alpha,2.7960800341730874e-07,2.7960800341730874e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.463158,beta,-3.4430019549677326e-06,3.4430019549677326e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,E,-1.4251036905453025e-07,1.4251036905453025e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,A,-7.391015044083726e-07,7.391015044083726e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,B,-6.97106609647463e-07,6.97106609647463e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,alpha,-1.392345226042584e-07,1.392345226042584e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.552632,beta,-1.6098644243075657e-07,1.6098644243075657e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,E,1.1407527388190743e-06,1.1407527388190743e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,A,4.2012347896293866e-06,4.2012347896293866e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,B,3.2985002489034783e-06,3.2985002489034783e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,alpha,9.016887400135978e-07,9.016887400135978e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.642105,beta,8.003389221197412e-07,8.003389221197412e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,E,3.4251324984662065e-07,3.4251324984662065e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,A,1.4701604203492742e-06,1.4701604203492742e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,B,1.8655201224390815e-06,1.8655201224390815e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,alpha,2.5747009099904635e-07,2.5747009099904635e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.731579,beta,3.999788595570358e-07,3.999788595570358e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,E,-5.77646306855793e-07,5.77646306855793e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,A,-1.0842191466591023e-06,1.0842191466591023e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,B,-8.201653589971866e-07,8.201653589971866e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,alpha,-2.4641502890453216e-07,2.4641502890453216e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.821053,beta,-2.4101710706579483e-07,2.4101710706579483e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,E,9.186231000074705e-08,9.186231000074705e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,A,7.605734764652652e-08,7.605734764652652e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,B,1.8780253147323868e-07,1.8780253147323868e-07,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,alpha,2.42615241622325e-08,2.42615241622325e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,1.910526,beta,4.841335665695112e-08,4.841335665695112e-08,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,E,-1.6978410919134523e-06,1.6978410919134523e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,A,-1.1759686222176708e-05,1.1759686222176708e-05,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,B,1.259657165308304e-06,1.259657165308304e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,alpha,-2.6170675593948627e-06,2.6170675593948627e-06,False
"5D L-BFGS-B (analytical grad)",chinchilla,2.000000,beta,2.406857054929442e-07,2.406857054929442e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,E,-2.582684887780762e-08,2.582684887780762e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,A,-2.4089468827403076e-08,2.4089468827403076e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,B,-2.5231502302636584e-08,2.5231502302636584e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,alpha,-5.40936471243332e-09,5.40936471243332e-09,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.300000,beta,-7.388910272162951e-09,7.388910272162951e-09,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,E,9.955612928393134e-09,9.955612928393134e-09,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,A,2.7696278866141093e-07,2.7696278866141093e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,B,4.692711973411642e-07,4.692711973411642e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,alpha,4.1741162497769885e-09,4.1741162497769885e-09,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.389474,beta,1.3829031110210434e-07,1.3829031110210434e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,E,3.0363799049046904e-05,3.0363799049046904e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,A,1.5280137330409356e-05,1.5280137330409356e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,B,3.279946738299409e-05,3.279946738299409e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,alpha,2.8570368174022496e-06,2.8570368174022496e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.478947,beta,9.904007273795909e-06,9.904007273795909e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,E,-3.0146006401225175e-06,3.0146006401225175e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,A,-9.079020551983762e-06,9.079020551983762e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,B,-1.6668942137093123e-06,1.6668942137093123e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,alpha,-2.0649854944267537e-06,2.0649854944267537e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.568421,beta,-4.682562581409354e-07,4.682562581409354e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,E,-1.8092609553870356e-05,1.8092609553870356e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,A,2.3038588164074036e-05,2.3038588164074036e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,B,-3.638678480790017e-05,3.638678480790017e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,alpha,5.6383848247463064e-06,5.6383848247463064e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.657895,beta,-1.0342131523937004e-05,1.0342131523937004e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,E,-1.0270539185720327e-07,1.0270539185720327e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,A,-8.089137408900369e-10,8.089137408900369e-10,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,B,-1.491207441055679e-07,1.491207441055679e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,alpha,1.0354918833976998e-10,1.0354918833976998e-10,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.747368,beta,-4.29153666008948e-08,4.29153666008948e-08,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,E,-3.1568742623287545e-06,3.1568742623287545e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,A,-3.7629210473725596e-06,3.7629210473725596e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,B,-3.0341227534374965e-06,3.0341227534374965e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,alpha,-8.697305122213202e-07,8.697305122213202e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.836842,beta,-8.858504789925391e-07,8.858504789925391e-07,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,E,9.341386651714909e-06,9.341386651714909e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,A,-1.3481895201278163e-05,1.3481895201278163e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,B,1.6831220367986153e-05,1.6831220367986153e-05,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,alpha,-3.2711811515215326e-06,3.2711811515215326e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,0.926316,beta,4.909460884422993e-06,4.909460884422993e-06,False
"5D L-BFGS-B (analytical grad)",asymmetric,1.015789,E,-4.939055082080243e-07,4.939055082080243e-07,False
